Experimental Design,Length (m),Width (m),Height (m),Electrode - Wire Gap (m),Bias Voltage (V),Applied Stress (Pa),Applied Load (N),Nominal Frequency (Hz),Bao Frequency (Hz),Axial Loaded Frequency (Hz),Electrical Softened Frequency (Hz),Eta Value,R Value (Ohm),L Value (H),C Value (F)
1,1e-05,5e-07,5e-07,5e-07,1.0,50000000.0,1.2499999999999999e-05,43909711.818352915,44664921.687005714,44656153.890509531,44656126.961128123,1.3029400747308074e-10,6164737868.0372591,219711.95697691914,5.7812861159937099e-23
2,1e-05,5e-07,5e-07,5e-07,11.0,50000000.0,1.2499999999999999e-05,43909711.818352915,44664921.687005714,44656153.890509531,44652894.99155774,1.4333617770472661e-09,50935482.825390182,1815.4777807723019,6.9976156294146486e-21
3,1e-05,5e-07,5e-07,5e-07,21.0,50000000.0,1.2499999999999999e-05,43909711.818352915,44664921.687005714,44656153.890509531,44644272.100256361,2.7370681527468581e-09,13966158.554720422,497.88764950569151,2.5525685676503324e-20
4,1e-05,5e-07,5e-07,2.5e-06,1.0,50000000.0,1.2499999999999999e-05,43909711.818352915,44664921.687005714,44656153.890509531,44656153.675074719,5.2117564605530442e-12,3852969147707.3735,137320175.37830848,9.2500330935710466e-26
5,1e-05,5e-07,5e-07,2.5e-06,11.0,50000000.0,1.2499999999999999e-05,43909711.818352915,44664921.687005714,44656153.890509531,44656127.822869271,5.7329361926152602e-11,31842656404.532555,1134875.8647548426,1.1192568956776687e-23
6,1e-05,5e-07,5e-07,2.5e-06,21.0,50000000.0,1.2499999999999999e-05,43909711.818352915,44664921.687005714,44656153.890509531,44656058.883379355,1.0944717169243548e-10,8736827281.101078,311381.99014801497,4.0793032334909754e-23
7,1e-05,5e-07,5e-07,4.5e-06,1.0,50000000.0,1.2499999999999999e-05,43909711.818352915,44664921.687005714,44656153.890509531,44656153.853569403,1.6085668008969666e-12,40446929484718.82,1441532287.2387917,8.8115692430521547e-27
8,1e-05,5e-07,5e-07,4.5e-06,11.0,50000000.0,1.2499999999999999e-05,43909711.818352915,44664921.687005714,44656153.890509531,44656149.420753613,1.769423697226851e-11,334272029617.73871,11913487.065299626,1.0662003506824567e-24
9,1e-05,5e-07,5e-07,4.5e-06,21.0,50000000.0,1.2499999999999999e-05,43909711.818352915,44664921.687005714,44656153.890509531,44656137.599903382,3.3779917955652492e-11,91716277810.655807,3268777.7671992322,3.8859083474782338e-24
10,1e-05,2.5e-06,5e-07,5e-07,1.0,50000000.0,6.2500000000000001e-05,43909711.818352915,44664921.687005714,44656153.890509531,44656126.961128123,6.5147003736540359e-10,1232947573.6074517,43942.391395383835,2.8906430579968551e-22
